account,amount
21DEGUFAA6LftUymXUc3uiWrfT5c5eMyT2WSjQ55quAMxmzt,2625.265
255pukdKnTVR5GpotFBPeBwEUsTkLQAjnP9hVQUGRfwvYnPc,2592.675
25tm4c9YCzLQ5fTUaz72FqvoA3Pg1S5nwwayfSWPTW2rQvbZ,2590.13
25u8Yf5wP2trqBVhxf1bzGBsK4RARL7LDLDU44jh7jnBSYac,2557.139
21vbA89HnM5YGSt2uKiXfbZsjHo68mcfi16zuL7YNR2956Vg,2527.645
23LUnEKb9MZ9fVXZyrz4PBXkm7sBE9dz676NWCWPFQenAUN3,2508.432
21sYTgzLs1wKhjoEMcqbm1odwWbS1q7P8NA2QW54mQwSWFoW,2500
23nPJc8NAHg9rYYnCXdFPLdBZb21CJcJWJCLf8DobRAoerXd,2488.086
24YR9EPQ8qQzvxqhph1RQGZvPWb5Q4snfBGHBDDjz7c8EtLn,2453.63
22A8TLkekovsqwwqh8iGmc479tjAsJnkFJcnpaooaS7W7H1F,2449.705
212EZxZ92RzwLbdKXHv29DfnvgdW11uWPaF9mnx3JJZftah3,2438.787
22hkD1cyZaZqDN9VZjgS5hgeWi9NKFyov72ZPvRzzQZmusBL,2424.611
21ntd7nqfVZRQJnqTR4yKUGgzxg6jAeWYNR6nTeiz3JCh7jR,2342.529
26Fxg6AYiK8uJ6fsDQJnR32dRzuwcKbBUzA1BpzrKivZ9tqJ,2324
21PVnbartLiQMMHCL8EKcc5ZQsCFqCaj41r1AtZme95287NZ,2297.796
26VykoPgsKzaqriUqPqP3yTL3CLmbZCsVgBfgLzQjzq1JcRX,2284.366
22rzS1f4VvxQHeJ729EKp5myoFTURLvhKvRC8NLAxgPTW9ms,2245.717
23e5osGMR8mfhJvLUffjVi29LEt6nt2ddjvcUUq36tJ7XW2A,2237.635
263gSQhJ4eyhEArSHx8WGpBkNPEmiD3fo57N7QC3Lvm2KiVp,2225.8
23sJ3on5ynQBqG7JEDomPewnjRg8JTf4iJevwkkT8GTBHWcS,2224.416
24YJY7KA6GR4nW1P9FwQgPA42iivUoYVEeX3xuVhZurqthEa,2207.185
22n1GvrSxA7uidP8VasFAUm88dk2XCLggn5ngZKJWbrEoB2t,2198.472
24mHgF81TTwPbkXH5vEBrYQEQnrgiR2FpUkH8FTxzs4QBsVe,2189.739
24zjhWchuGiFS36WoAxN6dcdKLsQWh35m4X4Nr8ef4XxmWdx,2172.454
25ByEb8VnaL3KfvcFpxyeuRE1SaNMrrmAczXX9JPSkEvgEia,2169.542
26dZycNJqdTcyvANaFt6vJSxNzrSJUtZ9aLHpM2jnR6wnrGv,2164.474
22vfFfhbVhoynjPYHEvg1QRpozx78r6PvNC16aQKDP1fA6rQ,2147.88
25s8VKMeGL6R6Q3ntctNJfwJXvQ4LHdzDvVVjBVubMtrW4E3,2128.557
246hutfivJubQRu6XJ2RFwTC4fufGhHYUT25HJKsUPC5DhvV,2124.063
21bo7JuVtQz22b3PjWBqdkB85CTeXYA42LugysdZMKTLfZk6,2103.885
253BG3nYEEtro1FNdDAMWYLVuQY1p4JKo3A6DiG8bKfZW5i6,2101.963
23x4Z4ohLQ69uQSLJSoNV68HeDcPUmAAzKBMTZtfQrWW8wNa,2096.31
21sizG9TMYSSRFoocHjSrwbqaRBQiAfsRthU42YSDn1zYrP2,2088.295
24K4EcoaZKvwWxzkj2XNUDud91JNXabUkjPD91Da67uLMZFM,2062.857
23NqDWLYrTnPSGgR8J3MDwLpnZsgwnbwZVEQxZEvMNYkXxMa,2050.161
23VoidbxrVLtE6iAZdHP5HuPbPdA7ov9oc1Fwi9k1KRySCMv,2028.865
21qQtfox1hvHbGNHjqeRRfVmVX15x4XB8Ze8UbEtWBhUY8Qh,2012.496
22U5nekyq6vhJNU3i2BXnDgZGmC5cZVCVHSnoigDm7LTHpwv,2011.491
25unVSX4pB92ZVkGNucBABVMzFKYxzaNVswnWUpeeGbExjWH,2004.723
23W7gQBbHbqk8WcuYETUAVopEbht64ifH73SjNEo5BQxnjGQ,2000.025
24nMDvZhCixFgNLgV9nfFjMBMby22n1dMZpwqNHmMcNtA1Nk,2000.019
2154xxUfBw1xqAukPRXYfBeFXSN5U3NXXkY15jiWvnVhJ6hL,1992.57
24astgr9dJ35d6u3C2Gk2doyB9sgity8jf1PExCnKVzjwcyr,1974.413
224Mm4TUHEAaa8H2RwEHRW1yfG92KHWTc9G33dBTCJ7XTEXT,1957.697
24p3CNY3uoA8UeMhvFtEbMmYYv9gy9GfSmUr4AYRGHS83fM8,1954.314
21CkJEryF59g3NnE9WeYKQiUunzpKQSRrZL2q32MXmKKP2ak,1939.85
26bGws8YcpH9hL8RUJMKFNqfLY8UJCcgLTHqstLuYkVsbWEj,1907.522
25GyFFm2dEeTcYVqvFswsm6TRpmVyRMskhgxu6WFFB5Q6mwY,1885.898
255ZQSYcWaaQqQsuW3H8uUKGe3DyvSaaC96XBaUpqwSZCH59,1872.336
23jHUH499v8DAetF4jyr6g9Qiq9XrUGxfn5izLH2FxMap7Xd,1870.803
24wivWAWYjEH4wEJAawRBacKL2AGKERTAVErk3PGJSHUpXYc,1744.137
21vtgacMrg2MAT4TAi1s1ppyySBwaejqxdbyHhoCwwx2vt3k,1704.211
26VDPdbGhDTHxSLZ8jE2HxVeV6XvC6suhdmJ7ttvxdN8DTZC,1666
24rzw75Xj7FCoppnguVKvrWhF7USERwAiZxoG8YNYQqPkxEs,1648.77
23swZNQg1EY1JdUXH4LS1AdLsAWMcHPNC4s9xKecwtjpcGnL,1641.677
21w5QdW7srbMcsTFNwjM3nLv39Ht15kZGqXMVbS1k4fjnXXE,1595.518
2634SB3jShNeiUMug9vzddkQ3ZTWs8pVfGjHNvcY7jmMUuEd,1590.203
25W9Q8HrJudCW4AFN1a3jQmswHKktq9SYBEbSYUyRy5asEY7,1587.534
22LGDTBq5ixjPumX2dFA5xSCHqgCkiKjjCmPumUMpYkdBJJz,1580.071
22sBW9uzYyzrTVmdPJNViXHhhr1i3bvNntVo7wyXrSZh2cyc,1566.573
22N9n5UWmXhLzRqiozh9vup9osT23W3PNTYzRQcxycmCd2h9,1565.432
23pYrzXsLwf5mo5koBPJ3uG2EBkGqiCgR4nSpyZtU71nFfmr,1548.088
22H1JPyVwks5EfvTMHfGeoTXszqGPHNYQcNqzhA8hNXA6a7N,1535.33
24oygGHwJG3tHJUdW4w7yqufVDjdkK1dHjvMBrWRaBKbNqzj,1527.239
24NKnoyB5AvQuKwizRCdxzRLQVv9qthrWbcQ9J6UojwEXEe9,1525.563
26XdsKGdkByU5AUxzXdU2BQ2nD6XaC4eSuUx8LDyTNiQPuJs,1500
21boNGbUeTgS6Vxc5GwmRSQvD6gShkTXvhCQxzCCAqJyYpqV,1500
24Ye9eVnwc5UBpPEsqsfPJR5gQMvJVAav9ixBXuhdWWEzv9H,1498.161
21ppw1hNmxyn8EZ3PRH7LFPedTqTGwnh8MvG1pHti44rRFeU,1484.509
22KzJGdanXdrQdVsS9DZgP6bEiWhKiwukZqTDvaLjRgbXMFf,1477.092
22cXW3ijmr4xA5zHG9csEXhN24gxGTBobQc7v5rHhWRdnrdT,1455.281
26YWvUo42Spua68dnPS7YEwdHyPWq1zZwodbx9BBdYFVJvfg,1454.307
229692tWhqX7Rjk6Qz4Kmw3Z2QmFKcibCGo8JXxDNnNK6muW,1439.891
23xo4aBRo7KG4K3g91r4dJtzQq682c4eyzEUTPKwd6fwG9c7,1425.041
22Kpwt7t85X2R33qrtcyAMEKNWNu3S6EL8ciqpXGPstr4QNJ,1420.723
21WQwKFDznH7YaseKgCuUar8xssnCyieCDzDrgj672vJSZep,1411.108
25BooJQ42qnWsuh2jYoH57Hx6Di3Z8LAybPCKGpQKUuZgyMc,1406.536
22s49mujW1fZxYGJA2ev3XnLoUq3LHGbknoDYGPPKSmwz5ZE,1401.366
26N4JoTfo93ddNJLUm7Ayqznqb4xrK75GjABp8ZEsGR3yRxp,1372.349
22gxrD2HNM1YksdAcPPrs4uJbcAwYZRbFpEzz5EP2caEHLuy,1370.623
22LSEGuvLGMELifG1vQkXzA6s3cQZ7Qoqpk366PL9n5oLevf,1370.62
23ghVfCAwTMmESXZEpSZTbxccUpma9t2vTBaHDSPVGPX8bq5,1361.545
22eEqr4QVAjsYBbd7cwKgpfTEzGdetrXMYUpYaMd1vonNbGN,1352.043
214YiW3NCMvXfMKpo8HzDtNmdPAaxpuAj3icYKUncNyrHT74,1306.087
23baEV4iw8kwvDvyrH843mBu81yk1jVfmVWtLnFDvdr2NCAn,1300.806
265MBv9aZ8iVNVKCqLmKQjCbNWGmvEaeVemUGNBKguiVYJJC,1300
22247YcqxfbXaKw6sHihW3xeYAbJ4Qrh42QgKKQgcaUBmfza,1297.276
26azvSZhnYoqAZ5sxmXZKRziNgkYCKUzEE9UZAZsC5cMTucq,1295.558
22ebF1wFNNZM1zGqmgjHqRPuuVXsRCtRc5jhWTC5hbHEBKC9,1275.834
26DvkM7hqZm7pYt8QUCjpKcApJyqHJ9WZHRb1GnNRc1vf1Ev,1254.539
25T5SUjCmDCiyuFfq2uEec8QKoHTDBJsV6zzPNy4uDWtBVpT,1251.571
25Q92NcaHwj3pRkDgpJaadz2Bzj98WunoLVvuBaybpc95M6U,1242.052
25pgMzMWVecRaWQtpyQxGGsSYaK62mChPQDHYVW4hWVCtdjs,1240.713
253sLpAnX1kRhcNGsNkug5o2W7watQ6B5U6SUBuTkNqMf4pM,1239.766
22xSxpQchqoor2BaDkbCQYDG3Dr57qPeZwFpydc6u3qiojZ3,1236.218
24L9KJYCqsjVRWVPGvAUJPsAmrRHjXZHfZcioWMnoYGK98oL,1232.076
23xFEv4V52ffpqbkwLeP9JvM6rS5x5tYkRKaRu8vM7N3QNi3,1193.564
24gvZtQv63sgCTxSWDXkRH5LADRpXbnodHqM1YbHtQAVvxij,1161.519
